,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
426830,20210115,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
435994,20210122,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
445166,20210129,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
455297,20210205,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
465447,20210212,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
475588,20210219,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
485849,20210226,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
495971,20210305,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
506407,20210312,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
516481,20210319,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
